Cluster,Attribute,Mean,Median,Stdev
Cluster -1: n=139,Cooling Setpoint,72.42,72.0,2.65
Cluster -1: n=139,Geometry Floor Area,2006.68,1750.0,890.73
Cluster -1: n=139,Heating Setpoint,69.21,70.0,1.96
Cluster -1: n=139,Income,98409.09,90000.0,55132.7
Cluster -1: n=139,Occupants,2.48,2.0,1.24
Cluster -1: n=139,Vintage,1996.0,1995.0,16.0
Cluster 0: n=374,Cooling Setpoint,71.16,70.0,4.27
Cluster 0: n=374,Geometry Floor Area,2126.25,1750.0,979.95
Cluster 0: n=374,Heating Setpoint,69.82,70.0,3.66
Cluster 0: n=374,Income,100775.0,90000.0,57509.99
Cluster 0: n=374,Occupants,2.46,2.0,1.26
Cluster 0: n=374,Vintage,1988.0,1995.0,19.0
Cluster 1: n=200,Cooling Setpoint,69.12,68.0,6.15
Cluster 1: n=200,Geometry Floor Area,2090.52,1750.0,1152.39
Cluster 1: n=200,Heating Setpoint,67.91,69.0,6.41
Cluster 1: n=200,Income,96681.03,90000.0,58395.18
Cluster 1: n=200,Occupants,2.41,2.0,1.34
Cluster 1: n=200,Vintage,1996.0,2005.0,18.0
Cluster 2: n=58,Cooling Setpoint,69.97,70.0,4.6
Cluster 2: n=58,Geometry Floor Area,1655.17,1250.0,1157.65
Cluster 2: n=58,Heating Setpoint,59.03,55.0,7.33
Cluster 2: n=58,Income,29482.76,0.0,62389.14
Cluster 2: n=58,Occupants,0.69,0.0,1.34
Cluster 2: n=58,Vintage,1996.0,1995.0,15.0
Cluster 3: n=29,Cooling Setpoint,,,
Cluster 3: n=29,Geometry Floor Area,,,
Cluster 3: n=29,Heating Setpoint,,,
Cluster 3: n=29,Income,,,
Cluster 3: n=29,Occupants,,,
Cluster 3: n=29,Vintage,,,
Total: n=800,Cooling Setpoint,71.33,72.0,4.19
Total: n=800,Geometry Floor Area,1881.56,1750.0,959.16
Total: n=800,Heating Setpoint,68.82,70.0,4.36
Total: n=800,Income,90628.12,90000.0,58695.75
Total: n=800,Occupants,2.28,2.0,1.3
Total: n=800,Vintage,1994.0,1995.0,17.0
